범죄대분류,범죄중분류,계,자영업(소계),자영업(농.임.수산업),자영업(광업),자영업(제조업),자영업(건설업),자영업(도.소매업),자영업(무역업),자영업(요식업),자영업(숙박업),자영업(유흥업),자영업(금융업),자영업(부동산업),자영업(의료보건업),자영업(차량정비업),자영업(노점),자영업(행상),자영업(기타사업),피고용자(소계),피고용자(교원(사립)),피고용자(사무원),피고용자(기술자),피고용자(점원),피고용자(공원),피고용자(운전사),피고용자(경비원),피고용자(외판원),피고용자(국공영기업체직원),피고용자(일반회사원),피고용자(금융기관직원),피고용자(유흥업종사자),피고용자(요식업종사자),피고용자(일용노동자),피고용자(기타피고용자),전문직(소계),전문직(의사),전문직(변호사),전문직(교수),전문직(종교가),전문직(언론인),전문직(예술인),전문직(기타전문직),공무원,기타(소계),기타(학생),기타(주부),기타(전경.의경),기타(공익요원),기타(기타),무직자,미상
강력범죄,살인기수,379,36,6,-,1,4,-,1,-,-,1,-,-,-,-,1,-,22,107,1,-,5,-,4,12,-,-,-,27,-,-,4,23,31,9,-,-,-,1,-,-,8,1,24,3,15,-,-,6,180,22
강력범죄,살인미수등,616,70,17,-,3,10,2,-,3,1,1,-,2,-,-,1,1,29,228,-,-,5,-,9,20,6,-,-,45,-,1,7,75,60,11,-,-,-,6,-,-,5,2,41,9,9,-,1,22,241,23
강력범죄,강도,"1,716",143,13,-,-,10,4,6,2,-,15,1,2,-,2,1,-,87,344,-,2,6,1,8,20,1,6,-,95,-,17,9,85,94,17,-,2,-,2,-,1,12,2,272,195,8,-,4,65,835,103
강력범죄,강간,"5,829",862,95,-,15,66,14,10,39,9,27,3,33,4,9,9,1,528,"2,005",6,7,58,17,33,159,11,28,3,904,6,50,58,270,395,216,16,1,7,27,-,28,137,35,"1,232",885,2,5,15,325,"1,236",243
강력범죄,유사강간,598,69,7,-,4,10,2,-,1,-,6,-,4,-,-,-,-,35,201,-,-,4,-,3,16,3,1,2,89,1,1,8,31,42,22,3,-,-,2,-,1,16,3,153,121,1,-,2,29,130,20
강력범죄,강제추행,"16,016","2,386",224,-,60,169,48,15,120,17,41,10,87,6,14,15,-,"1,560","6,133",51,36,185,42,85,485,116,53,17,"3,015",36,41,190,709,"1,072",811,97,8,26,70,10,69,531,290,"2,489","1,616",23,14,41,795,"3,330",577
강력범죄,기타 강간?강제추행등,521,70,17,-,3,4,2,-,8,-,2,-,-,-,2,1,-,31,155,2,-,4,3,4,11,3,1,-,40,-,3,5,30,49,18,2,-,-,5,-,-,11,2,131,102,-,-,3,26,124,21
강력범죄,방화,"1,396",208,44,-,4,27,3,1,8,2,4,1,1,-,3,3,-,107,367,-,2,14,3,3,51,2,-,1,112,-,3,9,103,64,22,-,2,-,6,-,2,12,5,245,145,31,-,2,67,501,48
절도범죄,절도범죄,"106,415","10,038","1,498",9,180,947,243,48,385,72,218,24,199,27,89,159,49,"5,891","25,767",33,107,592,282,297,"1,883",410,262,5,"9,401",43,261,881,"4,128","7,182","2,076",41,3,23,191,20,166,"1,632",183,"28,389","21,018","3,109",6,143,"4,113","34,197","5,765"
폭력범죄,상해,"65,695","14,736","2,282",14,249,"1,349",240,70,830,119,479,39,396,26,110,225,20,"8,288","25,052",59,103,834,126,324,"2,738",363,215,21,"9,991",45,308,598,"4,300","5,027","1,783",72,10,28,199,51,133,"1,290",317,"8,521","3,931","1,301",4,115,"3,170","13,811","1,475"
폭력범죄,폭행,"216,857","46,488","3,562",20,734,"4,669",599,209,"2,092",266,"1,243",79,"1,153",85,306,590,28,"30,853","82,609",160,378,"2,748",454,576,"9,675","1,221",784,59,"36,429",187,762,"1,983","11,275","15,918","6,124",299,26,113,490,106,573,"4,517",992,"27,816","11,516","5,345",12,362,"10,581","44,932","7,896"
폭력범죄,체포?감금,"1,687",367,27,-,6,38,6,3,9,6,16,-,15,1,4,1,1,234,522,-,1,20,-,2,85,15,16,1,208,2,9,11,52,100,78,18,-,3,19,1,4,33,26,244,97,30,-,2,115,384,66
폭력범죄,협박,"16,825","3,571",455,1,55,359,60,16,168,22,53,12,104,5,26,42,1,"2,192","6,406",19,24,247,26,42,949,76,42,5,"2,671",14,29,141,"1,004","1,117",508,43,4,20,52,19,32,338,120,"1,780",520,295,1,26,938,"3,852",588
폭력범죄,약취?유인,305,52,10,-,2,1,2,-,1,-,2,1,3,-,-,1,-,29,84,-,1,1,-,-,9,1,1,-,39,-,2,2,13,15,11,1,-,-,-,-,1,9,1,36,9,15,-,1,11,107,14
폭력범죄,폭력행위등,"40,963","6,292",494,3,96,623,122,36,313,34,233,16,202,21,42,63,3,"3,991","13,395",24,63,369,81,175,777,117,140,11,"6,652",27,183,331,"1,626","2,819","1,103",29,2,20,179,51,84,738,122,"10,315","7,471",799,2,103,"1,940","8,575","1,161"
폭력범죄,공갈,"3,638",544,48,1,9,70,10,3,18,10,28,3,23,-,-,7,1,313,789,1,8,17,7,3,106,8,5,-,260,-,16,10,139,209,181,4,4,2,22,89,8,52,9,891,685,38,-,13,155,"1,049",175
폭력범죄,손괴,"34,995","7,836","1,180",6,131,"1,051",107,45,244,59,103,14,232,17,74,77,3,"4,493","12,575",36,58,486,49,80,"1,079",210,103,8,"5,543",28,58,302,"2,074","2,461",947,56,5,28,127,14,85,632,197,"3,852","1,487",626,1,48,"1,690","7,884","1,704"
지능범죄,직무유기,642,16,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,12,36,4,2,-,-,-,-,6,-,1,20,1,-,-,-,2,12,9,-,-,-,-,-,3,525,34,4,-,-,-,30,14,5
지능범죄,직권남용,577,19,1,-,3,1,-,-,-,-,-,-,-,1,-,1,-,12,10,1,-,-,-,-,1,-,-,-,5,-,-,-,-,3,14,-,1,5,1,-,-,7,509,13,-,1,-,-,12,9,3
지능범죄,증수뢰,788,248,20,1,17,41,8,3,2,1,-,9,4,-,1,1,-,140,157,3,5,3,1,-,5,3,-,13,94,3,-,-,5,22,37,3,-,1,2,6,-,25,204,60,-,2,-,-,58,66,16
지능범죄,통화,220,13,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,11,18,-,-,-,1,-,4,-,-,-,4,-,1,-,-,8,3,-,-,-,1,-,1,1,-,41,29,1,-,-,11,103,42
지능범죄,문서?인장,"18,024","4,017",397,2,66,635,80,35,121,14,35,25,215,14,28,12,-,"2,338","4,024",28,97,52,57,40,140,31,55,7,"1,798",61,47,98,458,"1,055",812,94,49,32,134,11,28,464,472,"3,842","1,661",420,1,10,"1,750","3,474","1,383"
